Sl. No,State/UTS,Number of UDID Cards Generated - 2016-17,Number of UDID Cards Generated - 2017-18,Number of UDID Cards Generated - 2018-19,Number of UDID Cards Generated - 2019-20,Number of UDID Cards Generated - 2020-21,Number of UDID Cards Generated - 2021-22,Number of UDID Cards Generated - Total 
1,Andaman and Nicobar Islands,0,130,1381,1768,709,828,4816
2,Andhra Pradesh,0,0,0,1111418,0,0,1111418
3,Arunachal Pradesh,0,3,94,686,422,583,1788
4,Assam,0,0,0,14168,27552,39356,81076
5,Bihar,0,1,1464,7796,107957,41751,158969
6,Chandigarh,0,140,1713,2742,544,617,5756
7,Chhattisgarh,0,44017,69908,33309,21040,28092,196366
8,Dadra and Nagar Haveli and Daman and Diu,0,0,349,444,143,754,1690
9,Delhi,0,0,14,1188,3361,7954,12517
10,Goa,0,0,0,130,948,2072,3150
11,Gujarat,1735,37930,78363,82446,35444,37921,273839
12,Haryana,0,7392,22211,6565,6298,11740,54206
13,Himachal Pradesh,0,22,2543,20607,16292,9614,49078
14,Jammu and Kashmir,0,0,3906,16610,9852,10391,40759
15,Jharkhand,0,3812,6287,4222,703,2719,17743
16,Karnataka,0,0,2,154034,121156,94672,369864
17,Kerala,0,984,3159,110764,26245,7929,149081
18,Ladakh,0,0,0,0,0,507,507
19,Lakshadweep,0,0,0,27,306,333,666
20,Madhya Pradesh,19696,226457,60341,61661,216486,93167,677808
21,Maharashtra,17,17422,58673,196294,198150,153551,624107
22,Manipur,0,0,0,1080,1128,1559,3767
23,Meghalaya,0,762,3066,5364,12352,1952,23496
24,Mizoram,0,276,698,1081,910,227,3192
25,Nagaland,0,0,0,466,245,462,1173
26,Odisha,437,85012,117406,119781,49047,39865,411548
27,Puducherry,0,0,0,3536,9951,4322,17809
28,Punjab,0,663,22994,92910,82190,42296,241053
29,Rajasthan,0,252280,42555,55812,8660,36278,395585
30,Sikkim,0,16,111,356,1434,1014,2931
31,Tamil Nadu,0,22001,15733,121508,111722,150221,421185
32,Telangana,0,0,1,476092,0,0,476093
33,Tripura,0,461,701,1591,2209,14995,19957
34,Uttar Pradesh,34,27835,133063,209754,189308,103668,663662
35,Uttarakhand,0,0,0,2919,4930,12891,20740
36,West Bengal,0,0,4,1,4,0,9
Total,Total,21919,727616,646740,2919130,1267698,954301,6537404
